sample_id,status,verdict,failure_mode,note
astro_2606.02318_page9_chart2,extracted,partial,extra-noise,4 bell PDF curves present but extra series extend to negative y from adjacent marginal panel contamination — REGRESSED from judge6 correct
astro_2606.02593_page3_chart1,skipped,,,
astro_2606.00493_page16_chart1,extracted,correct,none,m/M peaked curve upper+lower branches match — unchanged
astro_2606.02700_page18_chart1,extracted,correct,none,noisy decay single series match — unchanged
astro_2606.00209_page2_chart2,skipped,,,
astro_2606.00218_page12_chart3,extracted,partial,extra-noise,0/1 binary strip partially captured; dashed connector lines still add mid-range spurious points; series fragmented into many colors — unchanged
astro_2606.03342_page10_chart1,extracted,correct,none,4 mass-function series match — unchanged
astro_2606.05146_page19_chart3,extracted,partial,missing-series,power-law fit line captured but discrete marker observations (square/diamond/triangle) absent — unchanged
astro_2606.00258_page13_chart3,extracted,partial,missing-series,two series extracted (emission peak + continuum baseline) but split oddly vs original single-component emission profile — unchanged
astro_2606.04894_page17_chart1,extracted,correct,none,decreasing curve match; ref lines not sampled — unchanged
astro_2606.02698_page8_chart12,extracted,correct,none,UVJ scatter 2 series (model track + data) match — unchanged
astro_2606.04712_page24_chart1,extracted,partial,missing-series,extinction track + J2220-2 scatter present; most individual marker series still absent — unchanged
astro_2606.02413_page9_chart2,missing,,,
astro_2606.00258_page13_chart1,extracted,correct,none,P-Cygni 2-series emission+continuum match — unchanged
astro_2606.01087_page16_chart2,extracted,correct,none,5 model curves including spectral radius and Titarchuk match — unchanged
