dimension,sample_id,corpus,paper,page,chart,verdict,failure_mode,problem,suggested_fix,suggested_module,png
legend,astro_2606.00209_page5_chart1,astro,2606.00209,5,page5_chart1,legend_missing,legend,"Series labels are inline colored text annotations (Opt. x0.01, Syn., X-ray, IC, Radio) placed next to curves, not a boxed legend; none recovered",Detect inline colored text near curves and match each label's color/position to the nearest series of the same color; emit as series labels,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00209_page5_chart1.png
legend,astro_2606.00219_page17_chart67,astro,2606.00219,17,page17_chart67,legend_missing,legend,"Inline colored text labels (Lazare+24 emcee, 21cmEMUv3 nautilus, 21cmEMUv3 MultiNest) above curves not recovered",Match inline label text color to series color; assign as series label when no boxed legend exists,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00219_page17_chart67.png
legend,astro_2606.01059_page5_chart2,astro,2606.01059,5,page5_chart2,legend_wrong,legend,4-entry legend (on-axis/offset x leakage2 thresholds) collapsed to 5 entries with spurious bare marker codes 'o' and 'D'; first two real labels lost,Suppress bare single-glyph marker codes (o/D/+/^); fix legend-entry segmentation so marker-only rows pair with their text,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.01059_page5_chart2.png
legend,astro_2606.01823_page4_chart3,astro,2606.01823,4,page4_chart3,legend_wrong,legend,Spurious bare marker code 'o' injected for the unlabeled data series; original legend only contained 'Power-law Fit',Do not emit a legend entry for a series that has no legend text; suppress bare single-char marker codes,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.01823_page4_chart3.png
legend,astro_2606.01823_page4_chart8,astro,2606.01823,4,page4_chart8,legend_wrong,legend,Spurious bare marker code 'o' injected for the unlabeled data series; original legend only contained 'Power-law Fit',Do not emit a legend entry for a series that has no legend text; suppress bare single-char marker codes,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.01823_page4_chart8.png
legend,astro_2606.02032_page11_chart1,astro,2606.02032,11,page11_chart1,legend_partial,legend,"Only 3 of ~8 legend entries recovered (Type I fit, Type II fit, GRB 061201 (z unknown)); confidence-region, error-band and bare-marker entries dropped, plus one spurious 'o'",Parse multi-line legend including region/band swatches; map fit-line vs marker entries; suppress spurious 'o',labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02032_page11_chart1.png
legend,astro_2606.02687_page5_chart3,astro,2606.02687,5,page5_chart3,legend_missing,legend,"3-entry legend (EC: Enia + 25 band, Bulge square, Disk diamond) not recovered; only one merged blue series output",Detect in-axes legend with shaded-band swatch + distinct marker shapes; split markers (square/diamond/circle) into separate labeled series,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02687_page5_chart3.png
legend,astro_2606.02711_page57_chart5,astro,2606.02711,57,page57_chart5,legend_partial,legend,3 of 5 entries recovered; Analytical and t/tdyn=33.28 (black dashed entries) missing,Handle two-column legend layout and black/dark dashed swatches that may be missed by color-based matching,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02711_page57_chart5.png
legend,astro_2606.03313_page18_chart17,astro,2606.03313,18,page18_chart17,legend_missing,legend,Tiny in-axes legend box rendered as garbled LaTeX in the source crop; nothing recovered,"If legend text is unreadable LaTeX, attempt vector text-span extraction rather than pixel OCR; flag low-confidence",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart17.png
legend,astro_2606.03313_page18_chart25,astro,2606.03313,18,page18_chart25,legend_missing,legend,In-axes LaTeX legend box garbled; nothing recovered,Prefer PDF vector text spans for legend text over rasterized LaTeX OCR,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart25.png
legend,astro_2606.03313_page18_chart6,astro,2606.03313,18,page18_chart6,legend_missing,legend,In-axes LaTeX legend box garbled; nothing recovered,Prefer PDF vector text spans for legend text over rasterized LaTeX OCR,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart6.png
legend,astro_2606.03313_page18_chart7,astro,2606.03313,18,page18_chart7,legend_missing,legend,In-axes LaTeX legend box garbled; nothing recovered,Prefer PDF vector text spans for legend text over rasterized LaTeX OCR,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart7.png
legend,astro_2606.03313_page18_chart8,astro,2606.03313,18,page18_chart8,legend_missing,legend,In-axes LaTeX legend box garbled; nothing recovered,Prefer PDF vector text spans for legend text over rasterized LaTeX OCR,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart8.png
legend,astro_2606.03546_page3_chart6,astro,2606.03546,3,page3_chart6,legend_partial,legend,5 of 6 ML coverage labels recovered; topmost entry 1.13 ML missing,Ensure all legend rows scanned (first/last row clipping); the missing entry is the first listed,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03546_page3_chart6.png
legend,astro_2606.04082_page3_chart1,astro,2606.04082,3,page3_chart1,legend_wrong,legend,"LaTeX legend entries 's = 20 t_nu^-1' / 's = 40 t_nu^-1' mangled to 's = 20 t-nu 1' (subscript/superscript collapsed, stray minus, nu misplaced)",Reconstruct LaTeX sub/superscript ordering from vector text spans (use baseline/size to rebuild t_nu^-1); avoid flattening,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04082_page3_chart1.png
legend,astro_2606.04083_page7_chart1,astro,2606.04083,7,page7_chart1,legend_partial,legend,"All 3 mass-bin labels recovered but comparison operators (<=, <) dropped and third label truncated (lost upper bound 12.30)",Preserve relational operators and full label extent; avoid clipping trailing tokens of legend text,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04083_page7_chart1.png
legend,astro_2606.04309_page13_chart3,astro,2606.04309,13,page13_chart3,legend_partial,legend,"Only 2 of 4 legend entries recovered (fmol, H atoms); HI and H2 (line entries) missing","Capture line-style legend entries (solid HI, dashed H atoms, filled H2) not just marker entries",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04309_page13_chart3.png
legend,astro_2606.04309_page13_chart5,astro,2606.04309,13,page13_chart5,legend_partial,legend,"Only 2 of 4 legend entries recovered (fmol, H atoms); HI and H2 (line entries) missing","Capture line-style legend entries (solid HI, dashed H atoms, filled H2) not just marker entries",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04309_page13_chart5.png
legend,astro_2606.04711_page30_chart4,astro,2606.04711,30,page30_chart4,legend_missing,legend,Legend entry 'Data' visible at bottom of original crop; not recovered,Extend legend search to legend boxes near panel edges/below axes; this is a residual sub-panel,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04711_page30_chart4.png
legend,astro_2606.04827_page5_chart1,astro,2606.04827,5,page5_chart1,legend_partial,legend,All 5 z= labels correct but spurious bare code 'D' added as a 6th entry; solid(this work)/dashed(THESAN) pairing not captured,Suppress spurious bare 'D' code; optionally use the 'Solid/Dashed' annotation to split each color into two labeled series,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04827_page5_chart1.png
legend,astro_2606.05146_page20_chart1,astro,2606.05146,20,page20_chart1,legend_missing,legend,"Small 2-entry legend (Type Ic-BL, Mean Peak (BTS)) not recovered amid many overlapping series",Detect small/low-contrast in-axes legend; assign the two text labels to their colored series,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05146_page20_chart1.png
data,astro_2606.05299_page11_chart1,astro,2606.05299,11,page11_chart1,partial,legend_wrong,The multi-curve decay-chain family is captured on log-y but only one series is labeled 'Th' while the rest are unlabeled.,"Associate inline curve annotations (d=260, n, nu, Th) with each series so all curves get labels.",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05299_page11_chart1.png
legend,astro_2606.05299_page11_chart1,astro,2606.05299,11,page11_chart1,legend_partial,legend,"Many inline curve labels (234Th, n, nu, delta=260/300/200/100/250) present; only a garbled fragment 'Th' recovered",Detect inline rotated/colored curve labels and match to nearest same-color curve; reconstruct superscript 234Th,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05299_page11_chart1.png
data,astro_2606.05299_page3_chart2,astro,2606.05299,3,page3_chart2,partial,legend_wrong,"Three decay curves (SHM, LMC pres., LMC peri.) are captured correctly but only SHM is labeled.",Map the inline text annotations LMC (pres.) and LMC (peri.) to their respective curves.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05299_page3_chart2.png
legend,astro_2606.05299_page3_chart2,astro,2606.05299,3,page3_chart2,legend_partial,legend,Only 1 of 3 inline curve labels recovered (SHM); LMC (pres.) and LMC (peri.) missing,Detect colored inline labels placed along curves; match to series by color/proximity,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05299_page3_chart2.png
data,astro_2606.05323_page10_chart1,astro,2606.05323,10,page10_chart1,partial,legend_wrong,"The declining luminosity-function series and fit lines are captured but legend labels are garbled placeholders ('s','s','D').",Fix legend-entry text parsing so the FRESCO/COSMOS-3D/EIGER labels are read instead of single-character fragments.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05323_page10_chart1.png
legend,astro_2606.05323_page10_chart1,astro,2606.05323,10,page10_chart1,legend_wrong,legend,"7-entry LaTeX legend mostly collapsed to bare codes 'S'/'D'; 'z~' tokens dropped, entries mis-assigned to wrong series",Rebuild legend text from vector spans (z~6/7/8 with sub/superscripts); suppress bare single-letter codes; fix entry-to-series mapping,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05323_page10_chart1.png
legend,materials_2606.00064_page2_chart1,materials,2606.00064,2,page2_chart1,legend_wrong,legend,"in-plot bracket citation labels ([25],[22],[13],[23,14,24]) wrongly harvested as legend entries (""23, 4, 24"", ""his or"") with bracket/word fragmentation",do not treat free-floating in-axes annotation text as legend entries unless co-located with a legend swatch/marker; require a color/marker proxy near each candidate label,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00064_page2_chart1.png
legend,materials_2606.00165_page18_chart1,materials,2606.00165,18,page18_chart1,legend_wrong,legend,"6 LaTeX legend entries E_N(a_-:CR)..., only 3 recovered and subscript sign stripped (a_- -> ""a "")",preserve LaTeX sub/superscript tokens (render a_- as a- or a_minus) and pair each color swatch to its full text line so all 6 entries map,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00165_page18_chart1.png
legend,materials_2606.00165_page18_chart2,materials,2606.00165,18,page18_chart2,legend_wrong,legend,"6 LaTeX entries I(a_-:CR)... recovered but subscript sign collapsed to space (a_- -> ""a "", a_+ -> ""a+""), losing minus distinction",retain subscript glyph content; map TeX _- /_+ to literal -/+ rather than dropping to whitespace,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00165_page18_chart2.png
legend,materials_2606.00165_page8_chart1,materials,2606.00165,8,page8_chart1,legend_wrong,legend,"single LaTeX entry |<a_- a_+>| mangled to ""| a a+ |"" (angle brackets and subscripts dropped)",preserve <> and subscripts in TeX-to-text; render angle-brackets and signs literally,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00165_page8_chart1.png
legend,materials_2606.00165_page8_chart2,materials,2606.00165,8,page8_chart2,legend_missing,legend,"2 LaTeX legend entries <a_+^dag a_+>, <a_-^dag a_-> present in original legend box but no labels recovered",detect legend box even when entries are LaTeX-heavy; do not skip legend extraction when text spans are math glyphs,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00165_page8_chart2.png
legend,materials_2606.00403_page19_chart2,materials,2606.00403,19,page19_chart2,legend_missing,legend,"horizontal top legend (50/60/70 Ry, Experiment) not recovered; text leaked into chart title instead",handle top/outside horizontal legends; associate legend text above axes with series colors rather than routing to title,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00403_page19_chart2.png
legend,materials_2606.00403_page19_chart3,materials,2606.00403,19,page19_chart3,legend_missing,legend,"top legend (50/60/70 Ry, Experimental Reference) with 5 series not recovered",same top/outside horizontal legend handling; map each swatch to nearest text token,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00403_page19_chart3.png
legend,materials_2606.00681_page4_chart3,materials,2606.00681,4,page4_chart3,legend_missing,legend,"3-entry in-axes legend (A2-like pole trajectory, electrical peak, peak-pole offset f_peak^elec-f_A2^mech) not recovered",detect in-axes legend box with line+marker swatches; LaTeX sup/subscript in last entry must not abort parsing,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00681_page4_chart3.png
legend,materials_2606.00681_page4_chart4,materials,2606.00681,4,page4_chart4,legend_wrong,legend,"3 LaTeX entries garbled to ""o"", ""electrical peak amplitude"" (assigned to wrong series), ""D""; O_A2/V_A2 subscript glyphs reduced to bare letters","keep full legend line text; bare single-letter results (o/D) signal failed glyph join - fall back to full text span, fix swatch-to-text ordering",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00681_page4_chart4.png
data,materials_2606.00681_page4_chart5,materials,2606.00681,4,page4_chart5,partial,legend_wrong,"Three legend entries (60/100/150 kHz) exist but the reconstruction labels only one series (""150 kHz (NKG)"") despite plotting all three colors.",Map each detected color cluster to its corresponding legend entry instead of collapsing to a single label.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00681_page4_chart5.png
legend,materials_2606.00681_page4_chart5,materials,2606.00681,4,page4_chart5,legend_partial,legend,"3 entries (60/100/150 kHz); only ""150 kHz (NKG)"" recovered and attached to wrong-colored series",recover all legend rows not just one; verify swatch color matches assigned series before labeling,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00681_page4_chart5.png
legend,materials_2606.01029_page25_chart1,materials,2606.01029,25,page25_chart1,legend_missing,legend,2 LaTeX entries delta=+ / delta=- in legend box not recovered,detect legend with Greek/LaTeX entries; do not skip when entries are short math expressions,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01029_page25_chart1.png
legend,materials_2606.01373_page7_chart3,materials,2606.01373,7,page7_chart3,legend_wrong,legend,"2 entries recovered but with spurious intra-word spaces (""Linear cavit y(y)"", ""Wit ho ut cavit y"") from serif-font glyph spacing",fix word-segmentation/space-insertion in text span joining for serif LaTeX fonts; merge adjacent glyph runs without injecting spaces,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01373_page7_chart3.png
legend,materials_2606.01373_page7_chart5,materials,2606.01373,7,page7_chart5,legend_wrong,legend,"2 entries with spurious intra-word spaces (""Linear cavit y(x)"", ""Wit ho ut cavit y"")",same intra-word space fix in glyph-run joining for serif fonts,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01373_page7_chart5.png
legend,materials_2606.01373_page7_chart7,materials,2606.01373,7,page7_chart7,legend_wrong,legend,"2 entries with spurious intra-word spaces (""Cylindrical cavit y"", ""Wit ho ut cavit y"")",same intra-word space fix in glyph-run joining for serif fonts,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01373_page7_chart7.png
legend,materials_2606.01373_page7_chart8,materials,2606.01373,7,page7_chart8,legend_wrong,legend,"2 entries with spurious intra-word spaces (""Linear cavit y(x)"", ""Wit ho ut cavit y"")",same intra-word space fix in glyph-run joining for serif fonts,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01373_page7_chart8.png
legend,materials_2606.01515_page7_chart6,materials,2606.01515,7,page7_chart6,legend_wrong,legend,"3 LaTeX entries (delta lambda_4=0 / !=0 (up arrow) / !=0 (down arrow)) garbled to ""dt4 0 (h)"",""dt4 0 (i)"",""o""; Greek/arrows/!= lost","map Greek letters (delta,lambda) and arrow/relational glyphs in TeX-to-text instead of transliterating to ascii fragments",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01515_page7_chart6.png
legend,materials_2606.02317_page22_chart11,materials,2606.02317,22,page22_chart11,legend_partial,legend,two in-plot component labels Al-O (blue) and Al-OH (red); only Al-O recovered,also harvest the second in-axes colored text label (Al-OH); match each colored annotation to its same-colored curve,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page22_chart11.png
legend,materials_2606.02317_page23_chart1,materials,2606.02317,23,page23_chart1,legend_missing,legend,"in-plot colored component labels Hf-O, Hf-OH, 7/2, 5/2 not recovered",detect color-coded in-axes text labels as series labels when no legend box exists; map by text color to curve color,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page23_chart1.png
legend,materials_2606.02317_page23_chart2,materials,2606.02317,23,page23_chart2,legend_partial,legend,"in-plot labels Hf-O (blue), Hf-OH (red); only Hf-O recovered",also recover Hf-OH; match colored annotation text to same-color curve,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page23_chart2.png
data,materials_2606.02317_page23_chart4,materials,2606.02317,23,page23_chart4,partial,legend_wrong,The legend label reads '290 288 286 284 282 280' which is the x-axis tick string mistakenly captured as a series name.,Exclude text spans located in the axis tick region from legend-label candidate collection.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page23_chart4.png
legend,materials_2606.02317_page23_chart4,materials,2606.02317,23,page23_chart4,legend_wrong,legend,"in-plot labels C-C/C-O-C/C-O=C ignored; x-axis tick string ""290 288 286 284 282 280"" emitted as spurious legend entry",exclude axis-tick numeric strings from legend candidates; restrict legend text to non-axis regions / colored annotations,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page23_chart4.png
legend,materials_2606.04219_page10_chart2,materials,2606.04219,10,page10_chart2,legend_missing,legend,in-axes legend titled W_CH (nm) with entries 25/20/15 not recovered,detect in-axes legend with a legend-title line above entries; map short numeric entries to swatch colors,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04219_page10_chart2.png
legend,materials_2606.04608_page18_chart1,materials,2606.04608,18,page18_chart1,legend_wrong,legend,"2-entry top legend (ED, NQS: Jastrow-Slater); recovered ""o"" (ED garbled), ""(a1)"" (subplot panel label captured), ""NQS: Jastrow-Slater""",fix ED->o glyph collapse; exclude subplot panel tags like (a1) from legend candidates,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04608_page18_chart1.png
legend,materials_2606.04724_page15_chart3,materials,2606.04724,15,page15_chart3,legend_missing,legend,"5-entry legend (tau=0.1/0.5/1.0/1.5, Delta xi=1.00) not recovered",detect in-axes legend with Greek tau/Delta entries; do not skip on Greek/LaTeX content,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04724_page15_chart3.png
legend,materials_2606.04724_page15_chart7,materials,2606.04724,15,page15_chart7,legend_missing,legend,"5-entry legend (tau=10/50/100/200, Delta xi=1.00) not recovered",same Greek-entry in-axes legend detection,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04724_page15_chart7.png
legend,materials_2606.04724_page15_chart9,materials,2606.04724,15,page15_chart9,legend_missing,legend,"5-entry legend (tau=10/50/100/200, Delta xi=1.00) not recovered",same Greek-entry in-axes legend detection,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04724_page15_chart9.png
legend,materials_2606.04919_page21_chart1,materials,2606.04919,21,page21_chart1,legend_missing,legend,"in-plot colored LaTeX labels hh,1s / hh,2s / hh,1s not recovered",recover italic LaTeX in-axes colored labels as series labels; map by text color to curve,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04919_page21_chart1.png
data,materials_2606.05057_page4_chart3,materials,2606.05057,4,page4_chart3,partial,legend_wrong,The three effective-mass lines were reconstructed but only one series is labeled 'measured' and the black mu=0.45 line color/label was lost.,Map each reconstructed line to its inline color-coded legend label (mu=0.85/0.45/0.25) instead of a single annotation.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.05057_page4_chart3.png
legend,materials_2606.05057_page4_chart3,materials,2606.05057,4,page4_chart3,legend_partial,legend,"3 colored LaTeX series labels (mu=0.85/0.45/0.25 m_0) missing; only the arrow annotation ""measured"" captured","harvest the colored mu=... in-axes labels and map by color to the 3 curves; treat ""measured"" arrow as annotation not series label",labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.05057_page4_chart3.png
legend,materials_2606.05128_page9_chart3,materials,2606.05128,9,page9_chart3,legend_wrong,legend,"in-plot filling-factor labels v=1/3/5/7 garbled to ""*"",""*"",""*"",""v=1"" (three collapsed to bare marker glyph)",prevent single-glyph/marker fallback (*) overriding real text; recover digit labels 3/5/7 instead of emitting *,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.05128_page9_chart3.png
data,optml_2605.03357_page22_chart4,optml,2605.03357,22,page22_chart4,partial,legend_wrong,"The legend labels are swapped: the peaking series is labeled Adaptive and the flat series Vanilla, but the original has Vanilla as the peaking red curve and Adaptive as the flat blue curve.",Bind legend labels to series by matching legend-marker color to the series color rather than by enumeration order.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.03357_page22_chart4.png
data,optml_2605.06821_page60_chart4,optml,2605.06821,60,page60_chart4,partial,legend_wrong,"The stepping data series is labeled wRF and the rising data series is labeled EoS threshold, so the dotted EoS threshold reference line was promoted into a data series and labels are misassigned.",Exclude dotted reference/threshold lines from series extraction and bind remaining labels by marker color.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.06821_page60_chart4.png
